x y z s_moving_average
-0.52382073 -0.25999603 0.18761280 0.28249929
-0.36485882 -0.48775880 -0.32554488 0.34710059
-0.56803990 -0.07906065 -0.00420029 0.43813818
-0.81326098 0.21984949 0.19444798 0.43442164
-0.58349233 0.28181030 0.11687734 0.55262635
-0.81482312 0.09218770 -0.23972065 0.44073734
-0.38038742 -0.01248148 -0.04621559 0.51866010
-0.77023239 0.30563533 -0.03863237 0.58420509
-0.70708196 -0.08803339 0.13307730 0.51900581
-0.50863898 0.10318315 0.10770525 0.44657843
-0.06458810 -0.10160375 -0.12806068 0.47629285
-0.80344318 0.15399486 0.28224307 0.43136854
-0.62848686 -0.21003912 -0.20612030 0.42698008
-0.43735180 0.18581354 0.13578857 0.53532134
-0.76637743 0.05804033 0.02917145 0.62692562
-0.54532785 0.21785719 0.05589889 0.57875032
-0.43027161 0.01689477 0.07227985 0.62035665
-0.44217794 -0.36428895 -0.07991780 0.49382668
-0.71759316 -0.15971946 -0.06878556 0.41882688
-0.22626467 -0.21645778 0.24206959 0.36184774
-1.02071744 -0.08372126 0.04068827 0.42439951
-0.45344442 0.17780664 0.19833681 0.33112071
-0.68718127 -0.11558795 0.21449397 0.40597524
-0.64782608 -0.31892158 -0.28332180 0.49783346
-0.82986307 0.12429019 0.03560643 0.53883529
-0.42737866 -0.10681316 0.03963492 0.55554521
-0.44360240 -0.07733663 0.11419381 0.59034768
-0.76548149 -0.09076346 -0.09543447 0.64814496
-0.89895991 0.12174312 -0.11735059 0.65992666
-0.59687647 0.12018666 0.11163279 0.53458847
-0.43365372 -0.02462137 -0.10582458 0.43987840
-0.61992955 -0.42183361 -0.36177812 0.41247989
-0.93067490 -0.24931171 0.09994356 0.34236081
-0.82636976 -0.09454064 0.32480707 0.30723796
-0.68906599 0.18437889 -0.23340442 0.32375475
-0.65135939 -0.23750551 -0.08475827 0.33782037
-0.38992297 -0.43183011 0.10860591 0.45084110
-0.54056610 -0.14853749 -0.36151446 0.41436776
-0.58196762 -0.13237318 0.05816905 0.41167443
-0.59453696 0.40044472 -0.05983891 0.44196295
-0.85587437 0.04481891 0.05499917 0.41288949
-0.26020311 0.20877781 0.08921776 0.28899428
-0.23417428 -0.29719076 -0.15993788 0.28638828
-0.83164399 -0.09745245 -0.34417154 0.25558349
-0.44121226 -0.05555567 -0.36770157 0.20226883
-0.85389477 0.07837846 0.20953164 0.18078285
-0.10081728 0.72846562 0.10360236 0.23715759
-0.84738453 -0.53301157 0.06692787 0.29284824
-0.80323527 -0.10383932 -0.15302420 0.23707187
-0.63519772 0.26649506 0.03926214 0.26854077
-0.63965871 -0.25891344 -0.41867074 0.37263468
-0.72157698 -0.01344564 0.44198248 0.31815963
-0.56743137 0.24568488 -0.12482390 0.22981928
-0.89623594 -0.24127919 -0.18130652 0.28283927
-0.06788257 -0.20534667 0.20962230 0.40642486
-0.82573179 0.23289325 0.09623774 0.37770209
-0.63915947 -0.01019063 -0.16369692 0.34970431
-0.48848195 -0.11374587 -0.30640144 0.52064669
-0.91948439 0.04314698 0.39477281 0.51474508
-0.56000210 -0.02965958 0.07145653 0.38719392
-0.27349956 0.05484563 -0.10273181 0.33566994
-0.32342782 0.10718911 0.38393900 0.32855750
-0.55419139 -0.30611726 -0.34203980 0.17492220
-0.18726802 0.43091643 -0.04487980 0.20056419
-0.69579683 0.36536107 -0.27676142 0.36061211
