file,label,segment_points,status,error,n_points,lambda1,lambda2,lambda3,linearity,planarity,scattering,anisotropy,curvature,eigen_entropy,bbox_x,bbox_y,bbox_z,bbox_diag,bbox_volume,extent_1,extent_2,extent_3,extent_ratio_12,extent_ratio_23,density_bbox,normal_consistency,n_components,largest_component_ratio,geometry_type,reconstruction_method,used_reconstruction_method,used_fallback,pc_to_mesh_mean,pc_to_mesh_rmse,pc_to_mesh_p95,mesh_to_pc_mean,chamfer_mean,mesh_components,largest_mesh_component_ratio,mean_adjacent_face_angle,smoothness_score,n_vertices,n_triangles,bad_triangle_ratio,mean_aspect_ratio,artifact_score,rmse_normalized,accuracy_score,connectivity_score,global_quality_score,segment_mesh_path,assembled_mesh_path
valve_0001_lidar_classes.ply,0,1169,ok,,1169,0.01581037744961481,0.012826758781068124,0.003579159914472237,0.18871267797788502,0.5849069002610233,0.22638042169784225,0.7736195782389083,0.11109780895465815,0.9601112246842936,0.22843377032643664,0.3530625830496576,0.3329673409432044,0.5363789939119873,0.02685428786419689,0.3530625830496576,0.3329673409432044,0.22843377032643664,0.9430830592870559,0.6860545832472965,43531.22323958633,0.9973506330279513,1,1.0,spherical,poisson,poisson,False,0.0076529439350411866,0.008776514561442886,0.015231842360830175,0.007410400620297416,0.015063344555338603,1,1.0,0.044827477170340274,0.9570958094519637,2270,4319,0.03750868256540866,3.708489178895936,0.9624913174345914,0.016362524746572446,0.9839008972210459,1.0,0.9758720060269003,lab2_outputs/meshes/valve_0001_lidar_classes/segment_00_spherical_poisson.ply,lab2_outputs/meshes/valve_0001_lidar_classes_assembled_mesh.ply
valve_0001_lidar_classes.ply,1,1078,ok,,1078,0.014906380880259118,0.01052808755110265,0.004308506192139509,0.2937194054031605,0.41724288467515547,0.28903770985459865,0.710962290078316,0.1448579453310734,0.9936910852079714,0.23673972471186036,0.3094964468323381,0.333027580261543,0.5125827904576471,0.024400965314875945,0.333027580261543,0.3094964468323381,0.23673972471186036,0.9293417878133275,0.7649190390846174,44178.58007029842,0.9960837367152826,1,1.0,spherical,poisson,poisson,False,0.007866970690318787,0.009210184281857324,0.016020502681219084,0.006998731581835136,0.014865702272153922,1,1.0,0.052815498863944946,0.9498340412722494,2573,4939,0.05001012350678275,4.254729301721128,0.9499898764932172,0.017968188658101975,0.982348968407561,1.0,0.9705432215432569,lab2_outputs/meshes/valve_0001_lidar_classes/segment_01_spherical_poisson.ply,lab2_outputs/meshes/valve_0001_lidar_classes_assembled_mesh.ply
valve_0001_lidar_classes.ply,2,478,ok,,478,0.012042234404634795,0.006334590761266324,0.0010207321506286097,0.47396882099369814,0.44126849151443653,0.08476268740882417,0.9152373125081347,0.05262168498433387,0.8163767547961065,0.11427825265694402,0.2846857865744695,0.2741478814873602,0.41141533397754687,0.008918961110133445,0.2846857865744695,0.2741478814873602,0.11427825265694402,0.9629840842605054,0.41684893582442684,53593.68586138554,0.9972158141402614,1,1.0,complex,poisson,poisson,False,0.006083895689095532,0.006785473478101104,0.011654269391108626,0.007813788007723465,0.013897683696818996,1,1.0,0.12061098474745556,0.8923703351215705,1582,2929,0.05769887333560942,22.145388344752472,0.9423011266643906,0.01649300091098435,0.9837746045509382,1.0,0.9546115165842248,lab2_outputs/meshes/valve_0001_lidar_classes/segment_02_complex_poisson.ply,lab2_outputs/meshes/valve_0001_lidar_classes_assembled_mesh.ply
valve_0001_lidar_classes.ply,3,284,ok,,284,0.0106035951972392,0.005109698651398627,0.0008292317029982123,0.5181163976113377,0.4036807203948351,0.07820288189951952,0.9217971180061727,0.0501272735145375,0.7979886335926283,0.1079062594245418,0.2599312912395611,0.25253086196702224,0.37812679518154924,0.00708303949266097,0.2599312912395611,0.25253086196702224,0.1079062594245418,0.9715292866887277,0.4272992955538475,40095.78095027824,0.9958989116158093,1,1.0,complex,poisson,poisson,False,0.004252791960985558,0.0048562604805995925,0.008353719044627598,0.0076655022263748375,0.011918294187360396,1,1.0,0.05075920361974892,0.9516928298654068,1341,2460,0.046747967479674794,3.2603174497841563,0.9532520325203252,0.012842941950874239,0.9873199077379786,1.0,0.9730661925309276,lab2_outputs/meshes/valve_0001_lidar_classes/segment_03_complex_poisson.ply,lab2_outputs/meshes/valve_0001_lidar_classes_assembled_mesh.ply
valve_0001_lidar_classes.ply,4,44,ok,,44,0.001601096654793953,0.0008741926243734482,0.00023307623652676402,0.4540038402991024,0.4004232883296898,0.14557287074663586,0.8544271286287922,0.08605789546872433,0.8868219660210166,0.09562265185754047,0.05841007532019865,0.1012011720232934,0.15098710430387058,0.0005652415674209083,0.1012011720232934,0.09562265185754047,0.05841007532019865,0.9448769213323557,0.6108393166778902,77842.82412725051,0.9256744805734516,1,1.0,complex,alpha_shape,alpha_shape,False,0.005168158367664141,0.009026976570695821,0.025318943615258226,0.008016062006123644,0.013184220373787785,9,0.23404255319148937,1.757016902865803,0.3627108702019716,36,47,0.0,2.1141520737560446,1.0,0.05978640766875497,0.9435863611420825,0.1111111111111111,0.6043520856137914,lab2_outputs/meshes/valve_0001_lidar_classes/segment_04_complex_alpha_shape.ply,lab2_outputs/meshes/valve_0001_lidar_classes_assembled_mesh.ply
valve_0001_lidar_classes.ply,5,64,ok,,64,0.0018830767238759672,0.0008781450239228694,0.00031784675533802725,0.5336647661126446,0.2975440464974933,0.16879118685881633,0.8312088126101379,0.10322821818059137,0.8929363651788108,0.12049977414668941,0.057977034998052485,0.13453526369324004,0.18968729354803446,0.0009398928991938159,0.13453526369324004,0.12049977414668941,0.057977034998052485,0.8956742703574785,0.4811381216946803,68092.86460915123,0.9132880879986338,1,1.0,complex,alpha_shape,alpha_shape,False,0.0032855393341445463,0.0037159629397988886,0.006161116510646414,0.011880482256925205,0.01516602159106975,1,1.0,0.6543126341668272,0.6044806642630985,61,118,0.0,2.1139212526753917,1.0,0.01958994126740654,0.9807864510284839,1.0,0.8963167788228956,lab2_outputs/meshes/valve_0001_lidar_classes/segment_05_complex_alpha_shape.ply,lab2_outputs/meshes/valve_0001_lidar_classes_assembled_mesh.ply
valve_0001_lidar_classes.ply,6,486,ok,,486,0.029926919900416467,0.0018837917915594195,0.0010586539658344113,0.9370536026171455,0.027571759086572546,0.03537463826286728,0.964625361703718,0.03220792201539338,0.3599070948119661,0.534396169947359,0.21285380095841888,0.3682084194167687,0.6829812934233616,0.04188306554982937,0.534396169947359,0.3682084194167687,0.21285380095841888,0.6890176990833417,0.578079668289484,11603.73515186441,0.9966848011660508,1,1.0,complex,poisson,poisson,False,0.008560406501398443,0.009869899818258736,0.018057137413892997,0.04457707137993729,0.053137477881335736,1,1.0,0.13046403963718545,0.8845924902847356,2050,3957,0.060399292393227194,4.963934881622428,0.9396007076067728,0.014451200806353861,0.9857546614417066,1.0,0.9524869648333038,lab2_outputs/meshes/valve_0001_lidar_classes/segment_06_complex_poisson.ply,lab2_outputs/meshes/valve_0001_lidar_classes_assembled_mesh.ply
valve_0001_lidar_classes.ply,7,788,ok,,788,0.018437805227750508,0.001736294675917225,0.0001802048338545751,0.9058296442892358,0.08439669596011364,0.009773659696414269,0.9902263402493494,0.008853401586030185,0.34140579265997295,0.45789637178589515,0.04370008196538816,0.325823416466385,0.5636840277817846,0.006519762071303895,0.45789637178589515,0.325823416466385,0.04370008196538816,0.711565840093669,0.1341219806703566,120863.30624662558,0.993492958116818,1,1.0,complex,poisson,poisson,False,0.0087761834335072,0.012326192434003236,0.03519880158471757,0.009103942439689141,0.017880125873196342,2,0.9775811209439528,0.16085257682678533,0.861435827392933,1762,3390,0.03687315634218289,6.651443848264175,0.9631268436578171,0.021867201883451502,0.9786007400539453,0.5,0.8257908527761739,lab2_outputs/meshes/valve_0001_lidar_classes/segment_07_complex_poisson.ply,lab2_outputs/meshes/valve_0001_lidar_classes_assembled_mesh.ply
valve_0001_lidar_classes.ply,8,39,ok,,39,0.0005327708859292998,0.0004433607897086242,7.818174288935129e-05,0.16782091216733575,0.685433562115291,0.14674552384039377,0.8532544742826268,0.07415417601760756,0.902112421678828,0.07154289491729258,0.0325498755061307,0.0770363713395086,0.11005672500020176,0.00017939554725028122,0.0770363713395086,0.07154289491729258,0.0325498755061307,0.9286898340663751,0.454970064369147,217396.6989726506,0.9627397693303447,1,1.0,complex,alpha_shape,alpha_shape,False,0.0017124186432925792,0.0021697693866307745,0.004738976402280602,0.007571425725891734,0.009283844369184314,2,0.9864864864864865,0.7475777170029269,0.5722206172982035,39,74,0.0,2.055180444605662,1.0,0.019715009569902082,0.9806661573234883,0.5,0.7632216936554229,lab2_outputs/meshes/valve_0001_lidar_classes/segment_08_complex_alpha_shape.ply,lab2_outputs/meshes/valve_0001_lidar_classes_assembled_mesh.ply
valve_0001_lidar_classes.ply,9,2642,ok,,2642,0.019185550045295707,0.01847726367473105,0.01461085219487032,0.03691769945899528,0.20152726768484,0.7615550328040422,0.23844496714383528,0.27950693602353566,1.0917673560344168,0.46405484818048437,0.3777756584515477,0.4104167942408308,0.7256054680287582,0.07194960421550985,0.46405484818048437,0.4104167942408308,0.3777756584515477,0.8844144088767787,0.9204683233039196,36720.146396493394,0.9969533096454802,1,1.0,spherical,poisson,poisson,False,0.007760952351216148,0.008733118682833621,0.015088979929928869,0.00785506978841427,0.015616022139630419,1,1.0,0.05368574608117047,0.9490495659822329,5680,11207,0.05380565717854912,4.636736608403309,0.9461943428214509,0.012035629646709694,0.988107504030356,1.0,0.9708378532085099,lab2_outputs/meshes/valve_0001_lidar_classes/segment_09_spherical_poisson.ply,lab2_outputs/meshes/valve_0001_lidar_classes_assembled_mesh.ply
