file,n_points,n_segments,min_label,max_label,labels,has_nan
valve_0001_lidar_classes.ply,7218,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0002_lidar_classes.ply,7106,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0003_lidar_classes.ply,7368,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0004_lidar_classes.ply,7220,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0005_lidar_classes.ply,8268,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0006_lidar_classes.ply,7617,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0007_lidar_classes.ply,6751,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0008_lidar_classes.ply,8688,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0009_lidar_classes.ply,8740,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0010_lidar_classes.ply,8600,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0011_lidar_classes.ply,7082,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0012_lidar_classes.ply,7400,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0013_lidar_classes.ply,8172,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0014_lidar_classes.ply,7525,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0015_lidar_classes.ply,7659,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0016_lidar_classes.ply,8869,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0017_lidar_classes.ply,7123,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0018_lidar_classes.ply,7347,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0019_lidar_classes.ply,7516,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0020_lidar_classes.ply,8021,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0021_lidar_classes.ply,7875,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0022_lidar_classes.ply,7905,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0023_lidar_classes.ply,7818,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0024_lidar_classes.ply,7628,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0025_lidar_classes.ply,7878,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0026_lidar_classes.ply,8312,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0027_lidar_classes.ply,8362,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0028_lidar_classes.ply,6977,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0029_lidar_classes.ply,7779,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0030_lidar_classes.ply,7729,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0031_lidar_classes.ply,8303,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
valve_0032_lidar_classes.ply,6935,10,0,9,"0,1,2,3,4,5,6,7,8,9",False
