file,label,n_points
valve_0001_lidar_classes.ply,0,1207
valve_0001_lidar_classes.ply,1,1105
valve_0001_lidar_classes.ply,2,489
valve_0001_lidar_classes.ply,3,293
valve_0001_lidar_classes.ply,4,44
valve_0001_lidar_classes.ply,5,65
valve_0001_lidar_classes.ply,6,492
valve_0001_lidar_classes.ply,7,798
valve_0001_lidar_classes.ply,8,40
valve_0001_lidar_classes.ply,9,2685
valve_0002_lidar_classes.ply,0,1063
valve_0002_lidar_classes.ply,1,850
valve_0002_lidar_classes.ply,2,406
valve_0002_lidar_classes.ply,3,745
valve_0002_lidar_classes.ply,4,44
valve_0002_lidar_classes.ply,5,91
valve_0002_lidar_classes.ply,6,651
valve_0002_lidar_classes.ply,7,446
valve_0002_lidar_classes.ply,8,48
valve_0002_lidar_classes.ply,9,2762
valve_0003_lidar_classes.ply,0,1058
valve_0003_lidar_classes.ply,1,742
valve_0003_lidar_classes.ply,2,463
valve_0003_lidar_classes.ply,3,751
valve_0003_lidar_classes.ply,4,60
valve_0003_lidar_classes.ply,5,82
valve_0003_lidar_classes.ply,6,745
valve_0003_lidar_classes.ply,7,634
valve_0003_lidar_classes.ply,8,46
valve_0003_lidar_classes.ply,9,2787
valve_0004_lidar_classes.ply,0,1255
valve_0004_lidar_classes.ply,1,939
valve_0004_lidar_classes.ply,2,456
valve_0004_lidar_classes.ply,3,621
valve_0004_lidar_classes.ply,4,55
valve_0004_lidar_classes.ply,5,98
valve_0004_lidar_classes.ply,6,617
valve_0004_lidar_classes.ply,7,502
valve_0004_lidar_classes.ply,8,42
valve_0004_lidar_classes.ply,9,2635
valve_0005_lidar_classes.ply,0,1478
valve_0005_lidar_classes.ply,1,1055
valve_0005_lidar_classes.ply,2,467
valve_0005_lidar_classes.ply,3,426
valve_0005_lidar_classes.ply,4,68
valve_0005_lidar_classes.ply,5,65
valve_0005_lidar_classes.ply,6,775
valve_0005_lidar_classes.ply,7,779
valve_0005_lidar_classes.ply,8,52
valve_0005_lidar_classes.ply,9,3103
valve_0006_lidar_classes.ply,0,1105
valve_0006_lidar_classes.ply,1,967
valve_0006_lidar_classes.ply,2,506
valve_0006_lidar_classes.ply,3,320
valve_0006_lidar_classes.ply,4,62
valve_0006_lidar_classes.ply,5,83
valve_0006_lidar_classes.ply,6,591
valve_0006_lidar_classes.ply,7,769
valve_0006_lidar_classes.ply,8,40
valve_0006_lidar_classes.ply,9,3174
valve_0007_lidar_classes.ply,0,1140
valve_0007_lidar_classes.ply,1,802
valve_0007_lidar_classes.ply,2,451
valve_0007_lidar_classes.ply,3,604
valve_0007_lidar_classes.ply,4,61
valve_0007_lidar_classes.ply,5,75
valve_0007_lidar_classes.ply,6,607
valve_0007_lidar_classes.ply,7,418
