metric,mean,median,std,min,max
pc_to_mesh_mean,0.00674326502622509,0.0071733069964417025,0.0029726600605119026,0.0012026180663350292,0.03327808225618613
pc_to_mesh_rmse,0.00840294936569504,0.008291597704183678,0.004130837064075561,0.0014948169296315564,0.05026895067726331
pc_to_mesh_p95,0.01669469850919375,0.014601785170533593,0.010212470552288591,0.0024107583679747217,0.130459139852141
mesh_to_pc_mean,0.010256548873220628,0.007750531282203815,0.010013153566514967,0.005075578973521644,0.07267382144918251
chamfer_mean,0.01699981389944572,0.01459662444272137,0.01142800213358577,0.007344196834078871,0.08589345128907634
rmse_normalized,0.022226426621196588,0.017283197373971094,0.016722660641041814,0.009459807021678675,0.34023759569909606
accuracy_score,0.9784960096499128,0.983010436603539,0.014670167018658411,0.7461363591120417,0.9906288423215294
smoothness_score,0.7748621075529043,0.8490675343316209,0.19256750000106215,0.30994894360102765,0.9674878177399855
connectivity_score,0.6845464550622833,1.0,0.4191591312675632,0.015625,1.0
artifact_score,0.9660088917764993,0.9594694223712623,0.026400546425127697,0.8943265482893027,1.0
global_quality_score,0.8509783660103997,0.8967038175819275,0.1334919302748159,0.5550827875853084,0.9834044838181282
n_vertices,1750.720088035214,1295.0,2010.666003628529,19.0,9966.0
n_triangles,3340.8407362945177,2400.5,3976.016126575506,22.0,19683.0
mesh_components,5.984193677470988,1.0,9.427984004522799,1.0,64.0
bad_triangle_ratio,0.033991108223500766,0.040530577628737754,0.026400546425127697,0.0,0.10567345171069727
mean_aspect_ratio,5.126377702083982,3.8011126259070345,12.496487373074254,1.5926211463674858,610.8178085045043
