label,pc_to_mesh_mean,pc_to_mesh_rmse,pc_to_mesh_p95,mesh_to_pc_mean,chamfer_mean,rmse_normalized,accuracy_score,smoothness_score,connectivity_score,artifact_score,global_quality_score,n_vertices,n_triangles,mesh_components,bad_triangle_ratio,mean_aspect_ratio
0,0.007302570375821933,0.008263727647886434,0.014289026105397964,0.007226156921295041,0.014528727297116975,0.015307564574995082,0.9849240682454788,0.952000292590839,0.9845,0.9458626480682836,0.9668217522261503,2690.168,5159.258,1.038,0.05413735193171644,6.308122757261841
1,0.007697371192323819,0.008733190826775405,0.015061523568101186,0.00870722968078718,0.016404600873111002,0.01637544623318669,0.9838892442130032,0.9486163085296164,0.9868333333333333,0.9450038089283346,0.9660856737510718,2240.302,4257.068,1.042,0.05499619107166544,7.2194523847897365
2,0.006912241369624325,0.008499070969575577,0.01613597167014762,0.007607301895038541,0.014519543264662866,0.020612660957891105,0.9798858000758582,0.8117773208837834,0.7318647322355323,0.9594815469955651,0.8707523500476848,1080.2,1972.232,7.774,0.04051845300443492,7.6886843315757645
3,0.007509100547751913,0.009751358579460495,0.01986506188347531,0.006677283779514624,0.014186384327266537,0.023546460419250168,0.9771527558416826,0.7992010435496154,0.5783961646134355,0.969640012878295,0.8310974942207571,1001.416,1840.354,11.41,0.030359987121705047,4.583680721804868
4,0.005426237023315719,0.009016267487079347,0.02135287021106239,0.007458406526234556,0.012884643549550275,0.05523132024712963,0.9485368329319226,0.3980803841010429,0.11114308085249901,0.9951254552384732,0.6132214382809844,89.26452905811624,141.47094188376752,10.839679358717435,0.0048745447615268014,2.018289610180783
5,0.0035988730293984787,0.0044029516835895266,0.00832240096053244,0.009886604068686187,0.013485477098084665,0.02127580675601935,0.9791772379222411,0.6338059915271448,0.6586883283200651,0.9788544369505788,0.8126314986800074,611.844,1130.998,8.646,0.021145563049421234,3.8323295505712345
6,0.009451733674548128,0.011171358382101563,0.021452739769227663,0.02656137676004593,0.03601311043459406,0.016032137663720428,0.9842276098942472,0.8363304538260186,0.2517343207681015,0.9729968842762468,0.7613223171911535,1434.836,2541.296,14.126,0.027003115723753295,4.347377102978682
7,0.009895520798392095,0.013281281731530504,0.031746185804702655,0.01127503005767679,0.021170550856068886,0.024491492937317574,0.9761034811943509,0.8302707528120054,0.5867220241746558,0.9549455232984865,0.8370104453698746,1343.302,2543.618,2.854,0.04505447670151352,6.183771120229329
8,0.0018658148762308506,0.0021550000640030097,0.003626890331332647,0.007218053153575408,0.009083868029806258,0.018282168246338434,0.9820538184373511,0.5827756595913586,0.9829659318637275,0.9943625410719334,0.8855394877410926,45.47094188376754,91.44488977955912,1.0380761523046091,0.005637458928066562,2.0088890593313793
9,0.0077607984185378304,0.008744017022587924,0.015077495515005663,0.00993637261321876,0.017697171031756588,0.01116732944661958,0.9889564450071319,0.9546251317747928,0.9720666666666667,0.9439310004843104,0.9648948109832254,6963.664,13717.77,1.074,0.05606899951568959,7.060729228646891
