x y z s1
-0.52382073 -0.25999603 0.18761280 0.83455183
-0.36485882 -0.48775880 -0.32554488 0.13505534
-0.56803990 -0.07906065 -0.00420029 1.85538571
-0.81326098 0.21984949 0.19444798 0.64601298
-0.58349233 0.28181030 0.11687734 0.91037593
-0.81482312 0.09218770 -0.23972065 0.79738638
-0.38038742 -0.01248148 -0.04621559 1.31710246
-0.77023239 0.30563533 -0.03863237 0.73649564
-0.70708196 -0.08803339 0.13307730 1.42524056
-0.50863898 0.10318315 0.10770525 1.56582583
-0.06458810 -0.10160375 -0.12806068 0.14539363
-0.80344318 0.15399486 0.28224307 0.59282862
-0.62848686 -0.21003912 -0.20612030 1.03363987
-0.43735180 0.18581354 0.13578857 0.97599743
-0.76637743 0.05804033 0.02917145 1.52194122
-0.54532785 0.21785719 0.05589889 1.22880625
-0.43027161 0.01689477 0.07227985 1.50887139
-0.44217794 -0.36428895 -0.07991780 0.55188694
-0.71759316 -0.15971946 -0.06878556 1.39206071
-0.22626467 -0.21645778 0.24206959 0.25664151
-1.02071744 -0.08372126 0.04068827 0.47880828
-0.45344442 0.17780664 0.19833681 0.93907991
-0.68718127 -0.11558795 0.21449397 1.17740471
-0.64782608 -0.31892158 -0.28332180 0.45927270
-0.82986307 0.12429019 0.03560643 1.00518677
-0.42737866 -0.10681316 0.03963492 1.39739047
-0.44360240 -0.07733663 0.11419381 1.34909819
-0.76548149 -0.09076346 -0.09543447 1.34450391
-0.89895991 0.12174312 -0.11735059 0.80729744
-0.59687647 0.12018666 0.11163279 1.58315957
-0.43365372 -0.02462137 -0.10582458 1.51520751
-0.61992955 -0.42183361 -0.36177812 0.09571627
-0.93067490 -0.24931171 0.09994356 0.39740326
-0.82636976 -0.09454064 0.32480707 0.53331232
-0.68906599 0.18437889 -0.23340442 0.88196877
-0.65135939 -0.23750551 -0.08475827 1.16397901
-0.38992297 -0.43183011 0.10860591 0.26088416
-0.54056610 -0.14853749 -0.36151446 0.53805945
-0.58196762 -0.13237318 0.05816905 1.66351966
-0.59453696 0.40044472 -0.05983891 0.51723528
-0.85587437 0.04481891 0.05499917 1.13704579
-0.26020311 0.20877781 0.08921776 0.56376936
-0.23417428 -0.29719076 -0.15993788 0.24732476
-0.83164399 -0.09745245 -0.34417154 0.42456760
-0.44121226 -0.05555567 -0.36770157 0.49117524
-0.85389477 0.07837846 0.20953164 0.82899793
-0.10081728 0.72846562 0.10360236 0.03062273
-0.84738453 -0.53301157 0.06692787 0.03246500
-0.80323527 -0.10383932 -0.15302420 0.98831502
-0.63519772 0.26649506 0.03926214 1.04808168
-0.63965871 -0.25891344 -0.41867074 0.27123425
-0.72157698 -0.01344564 0.44198248 0.34531179
-0.56743137 0.24568488 -0.12482390 1.07340410
-0.89623594 -0.24127919 -0.18130652 0.44356446
-0.06788257 -0.20534667 0.20962230 0.16467824
-0.82573179 0.23289325 0.09623774 0.80143408
-0.63915947 -0.01019063 -0.16369692 1.58116769
-0.48848195 -0.11374587 -0.30640144 0.78617647
-0.91948439 0.04314698 0.39477281 0.16358663
-0.56000210 -0.02965958 0.07145653 1.87410199
-0.27349956 0.05484563 -0.10273181 0.74241803
-0.32342782 0.10718911 0.38393900 0.30565613
-0.55419139 -0.30611726 -0.34203980 0.27093660
-0.18726802 0.43091643 -0.04487980 0.09246226
-0.69579683 0.36536107 -0.27676142 0.33774902
-0.82368175 0.16083170 -0.09865128 0.99883788
-0.60128047 -0.04086072 0.08439364 1.90613531
-0.24812953 0.02264623 0.16098470 0.60511661
-1.11254303 -0.01217960 -0.21080757 0.15206162
-0.90470327 -0.21953809 -0.08353086 0.60954912
-0.37102436 -0.33159818 0.00765787 0.50871977
-0.72104236 -0.08191827 0.25068946 0.99732971
-0.46547114 0.33434953 -0.03862642 0.70102737
-0.77398565 -0.05596470 0.06062420 1.46656991
-0.55585666 -0.27109702 0.02262245 1.07653655
-0.54294292 0.62936851 0.46921115 0.04990539
-0.81331084 -0.07184584 -0.36586050 0.45826031
-0.74767675 0.07890125 0.30146341 0.79178667
-0.78227096 -0.16353661 -0.53682226 0.20305144
-0.64066648 -0.26560360 -0.13235986 0.97507343
-0.81921519 -0.02356564 -0.43943210 0.24838649
-0.96676131 0.53231178 -0.32185565 0.04640281
-0.87419639 0.45922838 0.72626679 0.02102646
-0.89289166 -0.09206224 0.08538889 0.88256591
-0.16782559 -0.24671427 -0.06131946 0.31194114
-0.40566561 0.10869152 -0.09403902 1.16200101
-0.63345574 -0.34372395 -0.05954344 0.77927996
-0.66659687 0.05804247 -0.13883180 1.67000864
-0.48211537 0.25317895 0.03885733 1.05383752
-0.51206090 0.01328884 0.00002110 1.89615179
-0.78038951 0.07912357 -0.02432165 1.43067080
-0.07670792 0.39333873 0.09646164 0.06015417
-0.79076430 -0.27810287 0.29778574 0.39816291
-0.53431269 0.12003585 -0.43614650 0.37595818
-0.36814038 0.11360508 -0.27760767 0.63283671
-0.71788120 0.06592930 0.01311670 1.74054476
-0.67304280 -0.02587207 -0.06299434 1.87644184
-0.56185937 0.36787299 -0.64166461 0.05216157
-0.65921257 0.04412811 0.07399850 1.78492396
-0.69297865 -0.43918045 0.08199887 0.38594936
-0.16816245 -0.38346535 0.21595700 0.16055403
-0.68213131 -0.01533109 -0.26322463 1.05820815
-0.68361404 0.32501115 0.14566381 0.71558351
-0.16692210 0.29435297 0.10977167 0.15198340
-0.16401637 0.10974829 0.20699704 0.26532738
-0.67414274 0.01663645 -0.17435596 1.45384577
-0.35260402 -0.29457591 0.19558759 0.47909370
-0.64766276 0.29281177 0.18771725 0.78173026
-0.14483846 0.18269367 -0.39301006 0.07328622
-0.61673829 -0.29300180 -0.12956996 0.89515620
-0.22219289 0.15938345 -0.17473261 0.45111915
-0.85342934 0.00819552 -0.30414004 0.54014882
-0.76778507 0.07800237 0.28882801 0.75545080
-0.44780963 -0.57282238 0.07609168 0.13138292
-0.58199161 0.10347257 0.40405242 0.43431254
-1.11580957 -0.14777586 0.14772658 0.15579999
-0.99539860 0.36898726 0.09208915 0.24855699
-0.38835400 -0.14273592 0.20344092 0.80322813
-0.33288211 0.05821951 0.05860022 1.07765623
-0.53241419 -0.21583632 -0.03688217 1.31212595
-0.63813063 0.09584847 0.24995606 1.08088790
-0.86463402 -0.03125226 0.37036389 0.36173342
-0.78589706 -0.20556250 0.05057655 1.10233004
-0.38890370 0.00285651 0.33224015 0.57214368
-0.38580150 0.21045502 0.13852913 0.83260169
-0.01808672 -0.05129042 -0.50088057 0.08543807
-0.19893641 -0.11442486 0.02697011 0.46105242
-0.27261233 -0.40056489 -0.31291180 0.05348342
-1.00031948 -0.19853407 0.10990915 0.41324590
-0.46895304 0.06906854 -0.35319147 0.59454070
-1.17752586 0.01358840 -0.11794401 0.14612888
-0.48515356 0.17548841 0.03456036 1.34208028
-0.40996673 0.05730284 0.13251618 1.25999840
-0.77616832 -0.04490285 0.04919402 1.44429792
-0.39486788 -0.09843529 0.13029181 1.13065012
-0.66645970 -0.02938554 0.20737976 1.31152476
-1.09826509 -0.32411808 -0.37054635 -0.00157891
-1.18340403 -0.16956611 0.18735847 0.05675984
-0.67122102 0.04944752 0.27230437 0.92093247
-0.26807847 -0.01728448 0.33839647 0.26136556
-0.57696834 -0.20934956 -0.14860009 1.18098387
-0.97013413 -0.22203346 -0.08950417 0.41000389
-0.39910375 0.43019246 -0.34554538 0.07005510
-0.50179313 -0.26013598 0.11867427 0.95572738
-0.63277166 -0.45772646 0.23207425 0.18565628
-0.75125018 -0.13347506 -0.26743810 0.81395004
-0.76357082 0.10697261 -0.04731109 1.42322934
-0.51783450 0.09048046 0.33016541 0.69896262
-0.68569654 -0.36921445 0.26680560 0.33014329
-0.68287204 0.27864811 0.09584428 1.01844037
-0.63278438 0.08719397 0.48775314 0.22587532
-0.08075487 0.01734528 0.04004765 0.24618304
-0.33093996 -0.21141526 0.08326759 0.74341988
-0.60646571 0.07847705 -0.20834220 1.28431566
-0.99739187 -0.51824586 -0.27934603 -0.03391214
-0.71466882 -0.07329790 0.48430779 0.21868370
-0.32350166 -0.24052278 0.08692711 0.64427672
-0.70176956 -0.07109096 0.04633141 1.71409525
-0.44520722 -0.08481462 0.26596288 0.84644680
-0.88548456 0.00158477 0.64941843 0.06661041
