x y z s_gradient
-0.52382073 -0.25999603 0.18761280 -0.34974825
-0.36485882 -0.48775880 -0.32554488 0.25520847
-0.56803990 -0.07906065 -0.00420029 0.12773941
-0.81326098 0.21984949 0.19444798 -0.23625245
-0.58349233 0.28181030 0.11687734 0.03784335
-0.81482312 0.09218770 -0.23972065 0.10168163
-0.38038742 -0.01248148 -0.04621559 -0.01522269
-0.77023239 0.30563533 -0.03863237 0.02703452
-0.70708196 -0.08803339 0.13307730 0.20733255
-0.50863898 0.10318315 0.10770525 -0.31996173
-0.06458810 -0.10160375 -0.12806068 -0.24324930
-0.80344318 0.15399486 0.28224307 0.22206156
-0.62848686 -0.21003912 -0.20612030 0.09579220
-0.43735180 0.18581354 0.13578857 0.12207534
-0.76637743 0.05804033 0.02917145 0.06320221
-0.54532785 0.21785719 0.05589889 -0.00326746
-0.43027161 0.01689477 0.07227985 -0.16922983
-0.44217794 -0.36428895 -0.07991780 -0.02920267
-0.71759316 -0.15971946 -0.06878556 -0.07381136
-0.22626467 -0.21645778 0.24206959 -0.22831311
-1.02071744 -0.08372126 0.04068827 0.17060960
-0.45344442 0.17780664 0.19833681 0.17464911
-0.68718127 -0.11558795 0.21449397 -0.11995180
-0.64782608 -0.31892158 -0.28332180 -0.04305448
-0.82986307 0.12429019 0.03560643 0.23452944
-0.42737866 -0.10681316 0.03963492 0.08597786
-0.44360240 -0.07733663 0.11419381 -0.01322164
-0.76548149 -0.09076346 -0.09543447 -0.13545019
-0.89895991 0.12174312 -0.11735059 0.05966391
-0.59687647 0.12018666 0.11163279 0.17697752
-0.43365372 -0.02462137 -0.10582458 -0.37186082
-0.61992955 -0.42183361 -0.36177812 -0.27945106
-0.93067490 -0.24931171 0.09994356 0.10939901
-0.82636976 -0.09454064 0.32480707 0.12114138
-0.68906599 0.18437889 -0.23340442 0.15766667
-0.65135939 -0.23750551 -0.08475827 -0.15527115
-0.38992297 -0.43183011 0.10860591 -0.15647989
-0.54056610 -0.14853749 -0.36151446 0.35065888
-0.58196762 -0.13237318 0.05816905 -0.00520604
-0.59453696 0.40044472 -0.05983891 -0.13161847
-0.85587437 0.04481891 0.05499917 0.01163352
-0.26020311 0.20877781 0.08921776 -0.22243026
-0.23417428 -0.29719076 -0.15993788 -0.03480044
-0.83164399 -0.09745245 -0.34417154 0.06096262
-0.44121226 -0.05555567 -0.36770157 0.10110758
-0.85389477 0.07837846 0.20953164 -0.11513813
-0.10081728 0.72846562 0.10360236 -0.19913323
-0.84738453 -0.53301157 0.06692787 0.23942307
-0.80323527 -0.10383932 -0.15302420 0.25390417
-0.63519772 0.26649506 0.03926214 -0.17927019
-0.63965871 -0.25891344 -0.41867074 -0.17569247
-0.72157698 -0.01344564 0.44198248 0.20054246
-0.56743137 0.24568488 -0.12482390 0.02456317
-0.89623594 -0.24127919 -0.18130652 -0.22718146
-0.06788257 -0.20534667 0.20962230 0.08946741
-0.82573179 0.23289325 0.09623774 0.35412236
-0.63915947 -0.01019063 -0.16369692 -0.00381440
-0.48848195 -0.11374587 -0.30640144 -0.35439527
-0.91948439 0.04314698 0.39477281 0.27198138
-0.56000210 -0.02965958 0.07145653 0.14470785
-0.27349956 0.05484563 -0.10273181 -0.39211147
-0.32342782 0.10718911 0.38393900 -0.11787036
-0.55419139 -0.30611726 -0.34203980 -0.05329847
-0.18726802 0.43091643 -0.04487980 0.01670310
-0.69579683 0.36536107 -0.27676142 0.22659390
-0.82368175 0.16083170 -0.09865128 0.39209657
-0.60128047 -0.04086072 0.08439364 -0.09843032
-0.24812953 0.02264623 0.16098470 -0.43851842
-1.11254303 -0.01217960 -0.21080757 0.00110813
-0.90470327 -0.21953809 -0.08353086 0.08916454
-0.37102436 -0.33159818 0.00765787 0.09694515
-0.72104236 -0.08191827 0.25068946 0.04807690
-0.46547114 0.33434953 -0.03862642 0.11731005
-0.77398565 -0.05596470 0.06062420 0.09387729
-0.55585666 -0.27109702 0.02262245 -0.35416613
-0.54294292 0.62936851 0.46921115 -0.15456906
-0.81331084 -0.07184584 -0.36586050 0.18547032
-0.74767675 0.07890125 0.30146341 -0.06380222
-0.78227096 -0.16353661 -0.53682226 0.04582169
-0.64066648 -0.26560360 -0.13235986 0.01133376
-0.81921519 -0.02356564 -0.43943210 -0.23216765
-0.96676131 0.53231178 -0.32185565 -0.05684001
-0.87419639 0.45922838 0.72626679 0.20904077
-0.89289166 -0.09206224 0.08538889 0.07272867
-0.16782559 -0.24671427 -0.06131946 0.06985878
-0.40566561 0.10869152 -0.09403902 0.11683470
-0.63345574 -0.34372395 -0.05954344 0.12700191
-0.66659687 0.05804247 -0.13883180 0.06863939
-0.48211537 0.25317895 0.03885733 0.05653579
-0.51206090 0.01328884 0.00002110 0.09420832
-0.78038951 0.07912357 -0.02432165 -0.45899941
-0.07670792 0.39333873 0.09646164 -0.25812697
-0.79076430 -0.27810287 0.29778574 0.07895100
-0.53431269 0.12003585 -0.43614650 0.05866845
-0.36814038 0.11360508 -0.27760767 0.34114665
-0.71788120 0.06592930 0.01311670 0.31090128
-0.67304280 -0.02587207 -0.06299434 -0.42209580
-0.56185937 0.36787299 -0.64166461 -0.02287947
-0.65921257 0.04412811 0.07399850 0.08344695
-0.69297865 -0.43918045 0.08199887 -0.40609248
-0.16816245 -0.38346535 0.21595700 0.16806470
-0.68213131 -0.01533109 -0.26322463 0.13875737
-0.68361404 0.32501115 0.14566381 -0.22655619
-0.16692210 0.29435297 0.10977167 -0.11256403
-0.16401637 0.10974829 0.20699704 0.32546559
-0.67414274 0.01663645 -0.17435596 0.05344158
-0.35260402 -0.29457591 0.19558759 -0.16802888
-0.64766276 0.29281177 0.18771725 -0.10145187
-0.14483846 0.18269367 -0.39301006 0.02835649
-0.61673829 -0.29300180 -0.12956996 0.09445823
-0.22219289 0.15938345 -0.17473261 -0.08875185
-0.85342934 0.00819552 -0.30414004 0.07608291
-0.76778507 0.07800237 0.28882801 -0.10219147
-0.44780963 -0.57282238 0.07609168 -0.08028456
-0.58199161 0.10347257 0.40405242 0.00610427
-1.11580957 -0.14777586 0.14772658 -0.04643889
-0.99539860 0.36898726 0.09208915 0.16185704
-0.38835400 -0.14273592 0.20344092 0.20727481
-0.33288211 0.05821951 0.05860022 0.12722445
-0.53241419 -0.21583632 -0.03688217 0.00080792
-0.63813063 0.09584847 0.24995606 -0.23759813
-0.86463402 -0.03125226 0.37036389 0.00536053
-0.78589706 -0.20556250 0.05057655 0.05260256
-0.38890370 0.00285651 0.33224015 -0.06743209
-0.38580150 0.21045502 0.13852913 -0.12167640
-0.01808672 -0.05129042 -0.50088057 -0.09288732
-0.19893641 -0.11442486 0.02697011 -0.00798866
-0.27261233 -0.40056489 -0.31291180 -0.01195163
-1.00031948 -0.19853407 0.10990915 0.13526432
-0.46895304 0.06906854 -0.35319147 -0.06677926
-1.17752586 0.01358840 -0.11794401 0.18688489
-0.48515356 0.17548841 0.03456036 0.27846738
-0.40996673 0.05730284 0.13251618 0.02555441
-0.77616832 -0.04490285 0.04919402 -0.03233707
-0.39486788 -0.09843529 0.13029181 -0.03319329
-0.66645970 -0.02938554 0.20737976 -0.28305726
-1.09826509 -0.32411808 -0.37054635 -0.31369123
-1.18340403 -0.16956611 0.18735847 0.23062785
-0.67122102 0.04944752 0.27230437 0.05115143
-0.26807847 -0.01728448 0.33839647 0.06501285
-0.57696834 -0.20934956 -0.14860009 0.03715958
-0.97013413 -0.22203346 -0.08950417 -0.27773219
-0.39910375 0.43019246 -0.34554538 0.13643087
-0.50179313 -0.26013598 0.11867427 0.02890029
-0.63277166 -0.45772646 0.23207425 -0.03544433
-0.75125018 -0.13347506 -0.26743810 0.30939327
-0.76357082 0.10697261 -0.04731109 -0.02874685
-0.51783450 0.09048046 0.33016541 -0.27327151
-0.68569654 -0.36921445 0.26680560 0.07986944
-0.68287204 0.27864811 0.09584428 -0.02606699
-0.63278438 0.08719397 0.48775314 -0.19306433
-0.08075487 0.01734528 0.04004765 0.12938614
-0.33093996 -0.21141526 0.08326759 0.25953316
-0.60646571 0.07847705 -0.20834220 -0.19433301
-0.99739187 -0.51824586 -0.27934603 -0.26640799
-0.71466882 -0.07329790 0.48430779 0.16954721
-0.32350166 -0.24052278 0.08692711 0.37385289
-0.70176956 -0.07109096 0.04633141 0.05054252
-0.44520722 -0.08481462 0.26596288 -0.41187121
-0.88548456 0.00158477 0.64941843 -0.05325858
-0.54423006 0.35830363 0.02288004 0.39494686
-0.45480573 -0.01419580 -0.04260190 0.05330474
-0.79487060 0.10757534 -0.21288430 -0.20794265
-0.43360369 0.27132175 0.09163285 0.20015183
-0.67156218 0.11349139 -0.07716826 -0.14357622
-0.36611322 -0.45785152 -0.08390184 -0.41574358
-1.09770300 -0.37376521 0.34096556 0.01565062
-0.37620375 -0.17987006 -0.37562586 -0.00864231
-1.34113221 -0.13587388 0.60510375 0.26572587
-0.49127893 -0.13989307 0.11627005 0.16092779
-0.99023959 -0.07433084 0.02486937 -0.00662292
-0.62152516 0.19770153 0.08616131 0.04144826
-0.43291850 -0.17209307 0.22445385 -0.28986886
-0.19276576 -0.24253738 -0.22192391 -0.13627854
-0.26605392 -0.04783600 0.35095535 0.09062658
-0.71063393 0.36376139 0.03287145 0.07922228
-0.53544279 0.39117951 -0.09044262 0.10511733
-0.83528052 -0.11214105 0.11308349 -0.03260225
-0.99143977 0.15936773 -0.13469283 -0.23122732
-0.31304683 -0.59856508 -0.19664144 -0.02830517
-1.02161704 -0.20655737 0.06191648 0.46209250
-0.64480666 -0.06334439 -0.03979622 0.14087761
-0.54915294 -0.25213401 0.17671241 -0.14976557
-0.43433351 0.09625948 0.13913336 -0.16466762
-0.52589550 0.50876833 -0.02177354 -0.12235255
-0.67677080 -0.18838190 -0.25806567 0.09441808
-0.91111795 -0.22219933 -0.01767010 0.15461470
-0.51642622 0.01278551 -0.19138382 0.10643150
-0.37495386 0.18485317 -0.03991208 -0.04415011
-0.76322904 0.13710698 0.04699340 -0.08490032
-0.96203181 -0.01699506 0.06550895 -0.22046613
-0.82492370 0.04746085 -0.36370562 -0.08231161
-0.26595347 0.31198750 -0.06312933 -0.07923933
-0.50913642 -0.60248049 -0.28908692 0.11616932
-0.67344473 -0.26803326 0.17859912 0.01789471
-0.10067587 -0.29415368 -0.20936585 -0.13293281
-0.54113791 0.40277904 -0.30559358 -0.01507173
-0.53774097 0.45532471 -0.41293979 0.09519566
-0.92026730 -0.10590165 -0.13014710 0.05326454
-0.39684968 0.06041493 -0.44374051 -0.01849200
-0.47114740 -0.14438472 0.31861180 0.21204838
-0.75689688 -0.15915382 0.13528290 -0.05240692
-0.40926838 0.11202484 -0.42139933 -0.05407422
-0.46549139 -0.25857701 0.05881903 0.01913150
-0.95593361 0.11158054 -0.20164973 -0.07230027
-0.92065866 0.17845503 0.06041113 0.03570705
-0.75349420 0.36279471 -0.11016311 0.23667173
-0.59197308 0.06722836 -0.15491648 0.20277539
-0.48221593 -0.13336309 -0.10290958 -0.39372086
-0.25933934 -0.26014651 -0.60319508 -0.34265834
-0.19726575 0.63733199 -0.10131732 0.07235416
-1.08420951 -0.07762099 -0.07155574 0.20296027
-0.64748096 -0.27834701 0.14489029 0.04756849
-0.46887316 -0.37360140 0.17479918 -0.14635161
-0.08682875 0.04299008 -0.08433129 -0.02096615
-0.63550080 0.15381419 -0.43266790 0.01285781
-0.55890232 -0.09761599 0.46195625 -0.03017388
-0.64354318 0.41697190 -0.27593517 0.19158514
-0.45318521 0.07985007 -0.21726181 0.16743209
-0.55565097 0.30312971 -0.08094793 -0.19041424
-1.02299066 -0.00439071 -0.22560577 -0.12804057
-0.68558523 -0.02039694 -0.42641305 0.01927000
-1.00391458 0.12051671 -0.13067967 -0.09691221
-1.24118609 0.19621101 0.06809244 0.01630405
-0.77846871 -0.32920755 0.20895197 0.02425860
-0.51266234 0.59565057 0.10504715 0.20471408
-0.50307421 -0.04173198 0.20419397 0.12740267
-0.44372870 0.31293125 -0.13033073 -0.02304640
-0.70885187 -0.11977579 0.19770043 -0.02661283
-0.22540639 -0.11471012 -0.10619343 -0.02206213
-0.52148069 -0.06144038 0.23801341 -0.12233080
-1.16294432 -0.20667626 -0.19560408 -0.27157997
-1.18008900 -0.24090961 -0.22878903 0.24033734
-0.65027616 0.27824147 -0.06126516 0.15435099
-0.85770343 -0.01423864 0.26229341 -0.08617045
-0.84398970 -0.22764372 0.13963724 0.22703666
-0.65538403 0.16187117 -0.00341170 0.05435281
-0.42458409 -0.25876953 -0.00302116 -0.32770977
-0.65267250 -0.30397273 -0.39086949 0.00316822
-0.42856274 -0.08773810 -0.25557007 -0.03021679
-0.62404473 0.28200471 -0.57018446 -0.18622901
-0.97415967 -0.23072161 0.36529472 0.15445537
-0.52935325 0.19182931 -0.28504023 0.17932249
-0.87988397 0.11195343 0.01456858 0.22220079
-0.46281530 -0.04691775 0.06953593 0.03524925
-0.56047023 0.19444185 0.20175207 -0.39060765
-1.00496800 -0.56181714 0.25043635 -0.21969670
-0.30306873 -0.25515575 -0.46495885 0.05419127
-0.57524129 0.23270956 0.44939863 0.25069816
-0.47092561 -0.09292917 -0.22328266 0.21121743
-0.59713718 -0.07481618 -0.25376698 -0.27992307
-0.08781109 0.44629210 0.28401217 -0.08542341
-0.83021260 0.21375483 0.15990660 0.16387654
-0.48936359 0.31241632 0.15884279 0.09614250
-0.41499644 0.15922657 0.08519785 -0.06455008
-1.04590278 0.02090527 -0.13904799 -0.26797828
-0.91996024 0.42045415 0.43224884 -0.02956931
-0.26019485 0.06380335 0.33765628 0.23960223
-0.59698670 0.05069932 -0.27336784 0.13345909
-0.50075217 0.01509648 -0.32566303 -0.16111984
-0.61279928 -0.01993239 0.44939029 0.11633831
-0.37644667 0.00286136 0.06219683 0.17779182
-0.58894691 -0.05072850 -0.27060680 -0.14697996
-0.63776297 -0.18652456 -0.31257888 -0.19043202
-0.47219455 0.09781616 -0.44667688 0.00126686
-0.63067116 0.24892535 0.26480593 0.12184540
-0.34354079 0.00972830 -0.21126133 0.06824268
-0.87092471 0.08615123 0.09482001 -0.09947931
-0.27816722 0.27499491 -0.03305716 -0.01741036
-0.91105147 -0.07977665 0.05430780 0.28124376
-0.65052081 -0.14447353 0.06322120 0.11752466
-0.72598944 -0.15701652 0.07786321 0.02971533
-0.70049815 0.06102610 0.06830101 -0.26640236
-0.88485725 -0.12031028 0.35944423 -0.41700442
-0.89051988 -0.52916361 -0.46546129 0.42149245
-0.59272251 0.00772932 -0.02940271 0.01037271
