x y z s_norm
-0.52382073 -0.25999603 0.18761280 0.45200365
-0.36485882 -0.48775880 -0.32554488 0.12002793
-0.56803990 -0.07906065 -0.00420029 0.93648366
-0.81326098 0.21984949 0.19444798 0.36252455
-0.58349233 0.28181030 0.11687734 0.48798919
-0.81482312 0.09218770 -0.23972065 0.43436521
-0.38038742 -0.01248148 -0.04621559 0.68101851
-0.77023239 0.30563533 -0.03863237 0.40546693
-0.70708196 -0.08803339 0.13307730 0.73234003
-0.50863898 0.10318315 0.10770525 0.79906073
-0.06458810 -0.10160375 -0.12806068 0.12493441
-0.80344318 0.15399486 0.28224307 0.33728365
-0.62848686 -0.21003912 -0.20612030 0.54648932
-0.43735180 0.18581354 0.13578857 0.51913266
-0.76637743 0.05804033 0.02917145 0.77823343
-0.54532785 0.21785719 0.05589889 0.63911380
-0.43027161 0.01689477 0.07227985 0.77203059
-0.44217794 -0.36428895 -0.07991780 0.31785305
-0.71759316 -0.15971946 -0.06878556 0.71659313
-0.22626467 -0.21645778 0.24206959 0.17773181
-1.02071744 -0.08372126 0.04068827 0.28317047
-0.45344442 0.17780664 0.19833681 0.50161188
-0.68718127 -0.11558795 0.21449397 0.61471902
-0.64782608 -0.31892158 -0.28332180 0.27389903
-0.82986307 0.12429019 0.03560643 0.53298570
-0.42737866 -0.10681316 0.03963492 0.71912259
-0.44360240 -0.07733663 0.11419381 0.69620345
-0.76548149 -0.09076346 -0.09543447 0.69402303
-0.89895991 0.12174312 -0.11735059 0.43906893
-0.59687647 0.12018666 0.11163279 0.80728719
-0.43365372 -0.02462137 -0.10582458 0.77503767
-0.61992955 -0.42183361 -0.36177812 0.10135791
-0.93067490 -0.24931171 0.09994356 0.24453626
-0.82636976 -0.09454064 0.32480707 0.30903767
-0.68906599 0.18437889 -0.23340442 0.47450737
-0.65135939 -0.23750551 -0.08475827 0.60834729
-0.38992297 -0.43183011 0.10860591 0.17974533
-0.54056610 -0.14853749 -0.36151446 0.31129062
-0.58196762 -0.13237318 0.05816905 0.84542549
-0.59453696 0.40044472 -0.05983891 0.30140763
-0.85587437 0.04481891 0.05499917 0.59556499
-0.26020311 0.20877781 0.08921776 0.32349235
-0.23417428 -0.29719076 -0.15993788 0.17331015
-0.83164399 -0.09745245 -0.34417154 0.25742825
-0.44121226 -0.05555567 -0.36770157 0.28903973
-0.85389477 0.07837846 0.20953164 0.44936781
-0.10081728 0.72846562 0.10360236 0.07046501
-0.84738453 -0.53301157 0.06692787 0.07133934
-0.80323527 -0.10383932 -0.15302420 0.52497849
-0.63519772 0.26649506 0.03926214 0.55334329
-0.63965871 -0.25891344 -0.41867074 0.18465741
-0.72157698 -0.01344564 0.44198248 0.21981405
-0.56743137 0.24568488 -0.12482390 0.56536112
-0.89623594 -0.24127919 -0.18130652 0.26644402
-0.06788257 -0.20534667 0.20962230 0.13408674
-0.82573179 0.23289325 0.09623774 0.43628622
-0.63915947 -0.01019063 -0.16369692 0.80634187
-0.48848195 -0.11374587 -0.30640144 0.42904507
-0.91948439 0.04314698 0.39477281 0.13356867
-0.56000210 -0.02965958 0.07145653 0.94536626
-0.27349956 0.05484563 -0.10273181 0.40827765
-0.32342782 0.10718911 0.38393900 0.20099377
-0.55419139 -0.30611726 -0.34203980 0.18451615
-0.18726802 0.43091643 -0.04487980 0.09981358
-0.69579683 0.36536107 -0.27676142 0.21622481
-0.82368175 0.16083170 -0.09865128 0.52997256
-0.60128047 -0.04086072 0.08439364 0.96056903
-0.24812953 0.02264623 0.16098470 0.34311544
-1.11254303 -0.01217960 -0.21080757 0.12809899
-0.90470327 -0.21953809 -0.08353086 0.34521908
-0.37102436 -0.33159818 0.00765787 0.29736623
-0.72104236 -0.08191827 0.25068946 0.52925680
-0.46547114 0.33434953 -0.03862642 0.38863396
-0.77398565 -0.05596470 0.06062420 0.75195463
-0.55585666 -0.27109702 0.02262245 0.56684776
-0.54294292 0.62936851 0.46921115 0.07961641
-0.81331084 -0.07184584 -0.36586050 0.27341855
-0.74767675 0.07890125 0.30146341 0.43170763
-0.78227096 -0.16353661 -0.53682226 0.15229836
-0.64066648 -0.26560360 -0.13235986 0.51869413
-0.81921519 -0.02356564 -0.43943210 0.17381403
-0.96676131 0.53231178 -0.32185565 0.07795412
-0.87419639 0.45922838 0.72626679 0.06591070
-0.89289166 -0.09206224 0.08538889 0.47479077
-0.16782559 -0.24671427 -0.06131946 0.20397659
-0.40566561 0.10869152 -0.09403902 0.60740855
-0.63345574 -0.34372395 -0.05954344 0.42577204
-0.66659687 0.05804247 -0.13883180 0.84850511
-0.48211537 0.25317895 0.03885733 0.55607498
-0.51206090 0.01328884 0.00002110 0.95583093
-0.78038951 0.07912357 -0.02432165 0.73491718
-0.07670792 0.39333873 0.09646164 0.08448041
-0.79076430 -0.27810287 0.29778574 0.24489679
